date,Afghanistan,Africa,Albania,Algeria,American Samoa,Angola,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia & Oceania,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma (Myanmar),Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central & South America,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Cook Islands,Costa Rica,Cote dIvoire (IvoryCoast),Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Eurasia,Europe,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,Former Serbia and Montenegro,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Germany (Offshore),Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Hawaiian Trade Zone,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Middle East,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,Netherlands (Offshore),Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,Norway,Oman,Pakistan,Palestinian Territories,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent/Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan and South Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste (East Timor),Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,U.S. Pacific Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Kingdom (Offshore),United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,"Virgin Islands,  U.S.","Virgin Islands, British",Wake Island,Western Sahara,World,Yemen,Zambia,Zimbabwe
19940101,0.0,6722.0379999999996,11.5,1155.0,0.0,507.72899999999998,0.0,0.0,615.0,0.0,0.0,6629.8289999999997,475.0,21.343,194.41999999999999,0.0,40.799999999999997,1.3999999999999999,1.23,42.095999999999997,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,680.0,165.54900000000001,1.0600000000000001,0.0,9.8789999999999996,0.0,0.0,105.0,1671.6559999999999,0.0,0.0,5004.0690000000004,0.0,0.0,13.0,2900.0,455.096,0.0,182.00800000000001,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,197.0,0.0,0.0,0.0,347.22899999999998,890.52599999999995,0.0,2.6030000000000002,0.0,0.0,0.0,7384.317,5573.8270000000002,0.0,0.0,0.0,0.0,23.68,58.0,0.0,0.0,290.0,0.0,1.9019999999999999,50.026000000000003,11.393000000000001,1.3999999999999999,0.0,11.0,0.0,0.0,0.0,0.0,9.4049999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.553000000000001,0.0,541.22400000000005,1505.992,3617.8629999999998,545.0,0.0,0.10000000000000001,80.0,0.0,10.901999999999999,0.025000000000000001,434.93700000000001,0.0,0.0,0.0,0.0,1985.999,1.617,0.0,0.0,0.0,0.0,0.0,1370.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.547,18496.489000000001,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,59.0,0.0,0.0,39.875,0.0,0.0,2084.9609999999998,0.0,11326.981,2443.7840000000001,769.51599999999996,56.18,0.0,0.0,108.857,0.0,135.0,5.0369999999999999,5.0,0.0,0.0,416.12700000000001,0.0,146.23599999999999,6482.4080000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8068.335,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,551.46500000000003,1.3,0.42299999999999999,0.0,48.636000000000003,0.0,0.0,0.0,131.53200000000001,95.0,72.400999999999996,81.359999999999999,0.0,0.0,0.0,63.0,2180.5740000000001,85.0,2195.0,6816.7780000000002,0.0,79.248000000000005,0.0,2563.797,130.0,0.0,0.0,0.0,0.0,61137.550999999999,320.68400000000003,0.0,0.0
19940201,0.0,6731.9709999999995,11.5,1155.0,0.0,522.66200000000003,0.0,0.0,625.0,0.0,0.0,6713.7560000000003,510.0,21.343,186.904,0.0,40.799999999999997,1.3999999999999999,1.23,40.469000000000001,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,670.0,175.89500000000001,1.0600000000000001,0.0,9.8789999999999996,0.0,0.0,105.0,1724.5840000000001,0.0,0.0,5013.9089999999997,0.0,0.0,13.0,2920.0,469.93599999999998,0.0,182.00800000000001,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,189.0,0.0,0.0,0.0,347.22899999999998,890.52599999999995,0.0,2.6030000000000002,0.0,0.0,0.0,7103.8689999999997,5646.8270000000002,0.0,0.0,0.0,0.0,23.68,58.0,0.0,0.0,290.0,0.0,1.829,50.026000000000003,11.393000000000001,1.3999999999999999,0.0,11.0,0.0,0.0,0.0,0.0,9.4049999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.553000000000001,0.0,531.38300000000004,1505.992,3568.0990000000002,545.0,0.0,0.10000000000000001,85.0,0.0,10.901999999999999,0.025000000000000001,420.56099999999998,0.0,0.0,0.0,0.0,1988.4870000000001,1.554,0.0,0.0,0.0,0.0,0.0,1370.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.5,18451.937999999998,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,39.875,0.0,0.0,2084.9609999999998,0.0,11297.405000000001,2518.7849999999999,769.51599999999996,56.18,0.0,0.0,108.857,0.0,130.0,5.0369999999999999,5.0,0.0,0.0,402.10000000000002,0.0,146.23599999999999,6231.8379999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8060.8580000000002,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,551.46500000000003,1.3,0.40600000000000003,0.0,57.055999999999997,0.0,0.0,0.0,131.53200000000001,90.0,72.400999999999996,78.215999999999994,0.0,0.0,0.0,63.0,2204.8020000000001,90.0,2190.0,6770.3209999999999,0.0,76.183999999999997,0.0,2563.797,130.0,0.0,0.0,0.0,0.0,60959.675999999999,320.68400000000003,0.0,0.0
19940301,0.0,6684.6750000000002,11.5,1155.0,0.0,502.75099999999998,0.0,0.0,625.0,0.0,0.0,6713.9899999999998,500.0,21.343,185.37299999999999,0.0,40.799999999999997,1.3999999999999999,1.23,40.137,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,670.0,170.72200000000001,1.0600000000000001,0.0,9.8789999999999996,0.0,0.0,105.0,1709.462,0.0,0.0,4999.0690000000004,0.0,0.0,13.0,2920.0,455.096,0.0,182.00800000000001,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,193.0,0.0,0.0,0.0,347.22899999999998,890.52599999999995,0.0,2.6030000000000002,0.0,0.0,0.0,7046.7330000000002,5620.7420000000002,0.0,0.0,0.0,0.0,23.68,58.0,0.0,0.0,310.0,0.0,1.8129999999999999,50.026000000000003,11.393000000000001,1.3999999999999999,0.0,11.0,0.0,0.0,0.0,0.0,9.4049999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.553000000000001,0.0,546.14400000000001,1505.992,3667.6280000000002,545.0,0.0,0.10000000000000001,85.0,0.0,10.901999999999999,0.025000000000000001,417.63200000000001,0.0,0.0,0.0,0.0,1995.954,1.5409999999999999,0.0,0.0,0.0,0.0,0.0,1370.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.4380000000001,18571.262999999999,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,39.875,0.0,0.0,2037.576,0.0,11230.509,2463.7840000000001,769.51599999999996,56.18,0.0,0.0,113.393,0.0,130.0,5.0369999999999999,5.0,0.0,0.0,416.12700000000001,0.0,136.15100000000001,6180.7910000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8068.335,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,551.46500000000003,1.3,0.40300000000000002,0.0,53.167000000000002,0.0,0.0,0.0,131.53200000000001,90.0,72.400999999999996,77.573999999999998,0.0,0.0,0.0,63.0,2180.5740000000001,85.0,2230.0,6745.6099999999997,0.0,75.560000000000002,0.0,2563.797,130.0,0.0,0.0,0.0,0.0,60866.981,335.73899999999998,0.0,0.0
19940401,0.0,6636.7150000000001,11.5,1155.0,0.0,522.66200000000003,0.0,0.0,640.0,0.0,0.0,6734.6310000000003,520.0,21.343,180.50299999999999,0.0,40.799999999999997,1.3999999999999999,1.23,39.082000000000001,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,670.0,170.72200000000001,1.0600000000000001,0.0,14.818,0.0,0.0,100.0,1674.1759999999999,0.0,0.0,5003.5950000000003,0.0,0.0,13.0,2940.0,455.096,0.0,182.00800000000001,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,193.0,0.0,0.0,0.0,352.05200000000002,880.28999999999996,0.0,5.7839999999999998,0.0,0.0,0.0,6864.9579999999996,5593.7870000000003,0.0,0.0,0.0,0.0,23.68,56.0,0.0,0.0,330.0,0.0,1.766,45.152000000000001,11.393000000000001,1.3999999999999999,0.0,10.0,0.0,0.0,0.0,0.0,9.4049999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.472999999999999,0.0,546.14400000000001,1505.992,3518.335,555.0,0.0,0.10000000000000001,85.0,0.0,10.901999999999999,0.025000000000000001,408.31299999999999,0.0,0.0,0.0,0.0,2010.886,1.5009999999999999,0.0,0.0,0.0,0.0,0.0,1370.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,2792.5149999999999,18497.062000000002,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,39.875,0.0,0.0,1961.759,0.0,11078.790000000001,2403.7840000000001,804.72299999999996,56.18,0.0,0.0,113.393,0.0,125.0,5.0369999999999999,5.0,0.0,0.0,416.12700000000001,0.0,136.15100000000001,6018.3810000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8083.2879999999996,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,551.46500000000003,1.3,0.39200000000000002,0.0,53.869,0.0,0.0,0.0,131.53200000000001,90.0,72.400999999999996,75.536000000000001,0.0,0.0,0.0,63.0,2180.5740000000001,95.0,2245.0,6612.0990000000002,0.0,73.575000000000003,0.0,2553.5,125.0,0.0,0.0,0.0,0.0,60409.536999999997,335.73899999999998,0.0,0.0
19940501,0.0,6700.0789999999997,11.5,1155.0,0.0,537.59500000000003,0.0,0.0,650.0,0.0,0.0,6728.5519999999997,520.0,21.343,184.67699999999999,0.0,40.799999999999997,1.3999999999999999,1.23,39.987000000000002,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,680.0,165.54900000000001,1.0600000000000001,0.0,14.818,0.0,0.0,110.0,1708.8309999999999,0.0,0.0,4949.3140000000003,0.0,0.0,13.0,2940.0,356.16199999999998,0.0,182.00800000000001,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,183.0,0.0,0.0,0.0,352.05200000000002,880.28999999999996,0.0,5.7839999999999998,0.0,0.0,0.0,7020.7690000000002,5706.7879999999996,0.0,0.0,0.0,0.0,23.68,56.0,0.0,0.0,340.0,0.0,1.806,45.152000000000001,11.393000000000001,1.3999999999999999,0.0,10.0,0.0,0.0,0.0,0.0,8.4649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.472999999999999,0.0,526.46299999999997,1505.992,3568.0990000000002,555.0,0.0,0.10000000000000001,85.0,0.0,10.175000000000001,0.025000000000000001,416.30000000000001,0.0,0.0,0.0,0.0,2040.75,1.536,0.0,0.0,0.0,0.0,0.0,1370.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,2782.5300000000002,18566.445,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,63.0,0.0,0.0,39.875,0.0,0.0,1990.1900000000001,0.0,11179.554,2518.7849999999999,804.72299999999996,56.18,0.0,0.0,113.393,0.0,130.0,5.0369999999999999,5.0,0.0,0.0,416.12700000000001,0.0,136.15100000000001,6157.5919999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8063.3509999999997,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,551.46500000000003,1.3,0.40200000000000002,0.0,53.371000000000002,0.0,0.0,0.0,131.53200000000001,90.0,72.400999999999996,77.284000000000006,0.0,0.0,0.0,63.0,2190.2649999999999,90.0,2255.0,6688.192,0.0,75.277000000000001,0.0,2574.0929999999998,135.0,0.0,0.0,0.0,0.0,60851.5,335.73899999999998,0.0,0.0
19940601,0.0,6690.6019999999999,11.5,1155.0,0.0,537.59500000000003,0.0,0.0,650.0,0.0,0.0,6821.1540000000005,530.0,21.343,185.096,0.0,40.799999999999997,1.3999999999999999,1.23,40.078000000000003,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,680.0,170.72200000000001,1.0600000000000001,0.0,14.818,0.0,0.0,110.0,1731.5150000000001,0.0,0.0,5028.2129999999997,0.0,0.0,13.0,2950.0,425.41500000000002,0.0,182.00800000000001,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,180.0,0.0,0.0,0.0,361.697,880.28999999999996,0.0,5.7839999999999998,0.0,0.0,0.0,7036.348,5770.8239999999996,0.0,0.0,0.0,0.0,23.68,58.0,0.0,0.0,340.0,0.0,1.8109999999999999,45.152000000000001,12.428000000000001,1.3999999999999999,0.0,10.0,0.0,0.0,0.0,0.0,8.4649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.472999999999999,0.0,590.42600000000004,1505.992,3667.6280000000002,555.0,0.0,0.10000000000000001,85.0,0.0,11.628,0.025000000000000001,417.09899999999999,0.0,0.0,0.0,0.0,2040.75,1.5389999999999999,0.0,0.0,0.0,0.0,0.0,1370.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,2762.3530000000001,18709.823,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,67.0,0.0,0.0,39.875,0.0,0.0,1980.713,0.0,11104.466,2583.7849999999999,814.78200000000004,56.18,0.0,0.0,113.393,0.0,130.0,6.8499999999999996,5.0,0.0,0.0,425.47800000000001,0.0,136.15100000000001,6171.5100000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8063.3509999999997,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,551.46500000000003,1.3,0.40200000000000002,0.0,53.57,0.0,0.0,0.0,131.53200000000001,90.0,72.400999999999996,77.459000000000003,0.0,0.0,0.0,63.0,2209.6480000000001,95.0,2245.0,6610.5990000000002,0.0,75.445999999999998,0.0,2574.0929999999998,135.0,0.0,0.0,0.0,0.0,61161.43,340.79599999999999,0.0,0.0
19940701,0.0,6626.0230000000001,11.5,1155.0,0.0,547.55100000000004,0.0,0.0,655.0,0.0,0.0,6837.0129999999999,550.0,21.343,182.03399999999999,0.0,40.799999999999997,1.3999999999999999,1.23,39.414000000000001,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,680.0,170.72200000000001,1.0600000000000001,0.0,14.818,0.0,0.0,110.0,1803.9770000000001,0.0,0.0,5081.2969999999996,0.0,0.0,12.0,2940.0,445.202,0.0,182.00800000000001,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,180.0,0.0,0.0,0.0,371.34300000000002,890.52599999999995,0.0,5.7839999999999998,0.0,0.0,0.0,6922.0879999999997,5590.7830000000004,0.0,0.0,0.0,0.0,23.68,55.0,0.0,0.0,340.0,0.0,1.7809999999999999,45.152000000000001,12.428000000000001,1.3999999999999999,0.0,10.0,0.0,0.0,0.0,0.0,7.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.433,0.0,590.42600000000004,1505.992,3568.0990000000002,555.0,0.0,0.10000000000000001,85.0,0.0,10.175000000000001,0.025000000000000001,411.24200000000002,0.0,0.0,0.0,0.0,2040.75,1.514,0.0,0.0,0.0,0.0,0.0,1380.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,2766.5529999999999,18638.704000000002,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,67.0,0.0,0.0,35.445,0.0,0.0,1885.942,0.0,11071.402,2463.7840000000001,824.84100000000001,56.18,0.0,0.0,113.393,0.0,130.0,6.8499999999999996,5.0,0.0,0.0,444.18099999999998,0.0,136.15100000000001,6069.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8073.3190000000004,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,561.13999999999999,1.3,0.39600000000000002,0.0,55.313000000000002,0.0,0.0,0.0,131.53200000000001,90.0,72.400999999999996,76.177000000000007,0.0,0.0,0.0,63.0,2209.6480000000001,95.0,2180.0,6500.8720000000003,0.0,74.197999999999993,0.0,2594.6860000000001,135.0,0.0,0.0,0.0,0.0,60767.309000000001,320.80000000000001,0.0,0.0
19940801,0.0,6310.4120000000003,11.5,1155.0,0.0,547.55100000000004,0.0,0.0,655.0,0.0,0.0,6905.3040000000001,565.0,21.343,181.476,0.0,40.799999999999997,1.3999999999999999,1.23,39.293999999999997,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,700.0,160.375,1.0600000000000001,0.0,14.818,0.0,0.0,110.0,1792.635,0.0,0.0,5145.6239999999998,0.0,0.0,11.0,2950.0,469.93599999999998,0.0,177.21799999999999,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,172.0,0.0,0.0,0.0,371.34300000000002,905.88,0.0,5.7839999999999998,0.0,0.0,0.0,6901.3180000000002,5607.7830000000004,0.0,0.0,0.0,0.0,23.68,55.0,0.0,0.0,340.0,0.0,1.776,45.152000000000001,12.428000000000001,1.3999999999999999,0.0,10.0,0.0,0.0,0.0,0.0,7.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.433,0.0,624.86699999999996,1525.9390000000001,3617.8629999999998,555.0,0.0,0.10000000000000001,85.0,0.0,10.901999999999999,0.025000000000000001,410.17700000000002,0.0,0.0,0.0,0.0,2040.75,1.5089999999999999,0.0,0.0,0.0,0.0,0.0,1390.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,2768.6529999999998,18686.023000000001,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,52.0,0.0,0.0,39.875,0.0,0.0,1544.7670000000001,0.0,11105.449000000001,2463.7840000000001,824.84100000000001,56.18,0.0,0.0,104.321,0.0,130.0,6.8499999999999996,5.0,0.0,0.0,406.77600000000001,0.0,136.15100000000001,6050.8699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8093.2529999999997,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,561.13999999999999,1.3,0.39400000000000002,0.0,58.475999999999999,0.0,0.0,0.0,131.53200000000001,95.0,72.400999999999996,75.944000000000003,0.0,0.0,0.0,63.0,2209.6480000000001,95.0,2220.0,6544.1610000000001,0.0,73.971000000000004,0.0,2615.279,135.0,0.0,0.0,0.0,0.0,60661.911999999997,335.82600000000002,0.0,0.0
19940901,0.0,6650.5410000000002,11.5,1155.0,0.0,547.55100000000004,0.0,0.0,675.0,0.0,0.0,6852.2910000000002,550.0,21.343,180.364,0.0,40.799999999999997,1.3999999999999999,1.23,39.052999999999997,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,635.0,165.54900000000001,1.0600000000000001,0.0,14.818,0.0,0.0,110.0,1819.729,0.0,0.0,5116.0910000000003,0.0,0.0,12.0,2910.0,469.93599999999998,0.0,177.21799999999999,24.751999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,176.0,0.0,0.0,0.0,385.81,905.88,0.0,5.7839999999999998,0.0,0.0,0.0,6859.7669999999998,5804.7830000000004,0.0,0.0,0.0,0.0,23.68,55.0,0.0,0.0,340.0,0.0,1.764,45.152000000000001,12.428000000000001,1.3999999999999999,0.0,10.0,0.0,0.0,0.0,0.0,7.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.433,0.0,639.62800000000004,1505.992,3667.6280000000002,555.0,0.0,0.10000000000000001,90.0,0.0,10.901999999999999,0.025000000000000001,408.04599999999999,0.0,0.0,0.0,0.0,2040.75,1.5,0.0,0.0,0.0,0.0,0.0,1370.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,2773.645,18784.821,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,50.0,0.0,0.0,39.875,0.0,0.0,1904.896,0.0,11202.172,2493.7840000000001,804.72299999999996,56.18,0.0,0.0,104.321,0.0,130.0,6.8499999999999996,5.0,0.0,0.0,416.12700000000001,0.0,136.15100000000001,6013.7449999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8153.0540000000001,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,561.13999999999999,1.3,0.39200000000000002,0.0,60.475999999999999,0.0,0.0,0.0,131.53200000000001,95.0,72.400999999999996,75.477999999999994,0.0,0.0,0.0,63.0,2209.6480000000001,95.0,2380.0,6608.7979999999998,0.0,73.516999999999996,0.0,2615.279,135.0,0.0,0.0,0.0,0.0,61270.466999999997,335.82600000000002,0.0,0.0
19941001,0.0,6751.9269999999997,11.5,1155.0,0.0,552.529,0.0,0.0,670.0,0.0,0.0,6951.6540000000005,565.0,21.343,182.59,0.0,40.799999999999997,1.3999999999999999,1.23,39.534999999999997,0.0,0.0,5.9299999999999997,0.0,0.0,22.600000000000001,0.0,0.0,650.0,165.54900000000001,1.0600000000000001,0.0,14.818,0.0,0.0,110.0,1738.4469999999999,0.0,0.0,5116.2690000000002,0.0,0.0,12.0,2950.0,469.93599999999998,0.0,177.21799999999999,29.702999999999999,0.0,0.0,6.8200000000000003,39.460000000000001,24.18,0.0,2.4350000000000001,186.0,0.0,0.0,0.0,380.988,910.99800000000005,0.0,5.7839999999999998,0.0,0.0,0.0,6942.8580000000002,6084.7860000000001,0.0,0.0,0.0,0.0,23.68,55.0,0.0,0.0,340.0,0.0,1.786,45.152000000000001,12.428000000000001,1.3999999999999999,0.0,10.0,0.0,0.0,0.0,0.0,7.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.433,0.0,639.62800000000004,1515.9649999999999,3617.8629999999998,555.0,0.0,0.10000000000000001,90.0,0.0,10.901999999999999,0.025000000000000001,412.30700000000002,0.0,0.0,0.0,0.0,2035.7729999999999,1.518,0.0,0.0,0.0,0.0,0.0,1390.0,2.9079999999999999,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,2779.6379999999999,18744.685000000001,0.0,0.0,0.0,0.0,0.20000000000000001,0.0,0.0,0.0,0.0,20.0,45.0,0.0,0.0,39.875,0.0,0.0,1971.2360000000001,0.0,11176.089,2808.7869999999998,834.89999999999998,51.497999999999998,0.0,0.0,113.393,0.0,125.0,6.8499999999999996,5.0,0.0,0.0,360.01999999999998,0.0,136.15100000000001,6087.9830000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8217.8430000000008,0.0,0.0,0.0,0.0,0.0,1.26,0.040000000000000001,0.0,0.0,0.0,16.574999999999999,0.0,0.109,6.0,0.0,0.081000000000000003,0.0,575.65200000000004,1.3,0.39700000000000002,0.0,60.475999999999999,0.0,0.0,0.0,131.53200000000001,95.0,72.400999999999996,76.409999999999997,0.0,0.0,0.0,63.0,2170.8820000000001,95.0,2340.0,6658.0050000000001,0.0,74.424999999999997,0.0,2615.279,165.0,0.0,0.0,0.0,0.0,61768.267999999996,335.82600000000002,0.0,0.0
