,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,13916.273,14884.228,15329.468,15992.446,16774.536,17598.71,18020.621,19433.372,20596.724,20909.885,21604.121,22180.52,21559.734,20168.337,19213.141,18796.769,18583.948,18674.513,19138.418,18864.874,18937.966,19236.627,19175.205,18516.13,18438.26,18866.08,18701.9,18823.595,19082.31,19658.99,19948.521,20026.621,20254.291,20424.82,20566.164,20826.22,21039.764,21024.692,21103.297,21241,21163.044,21178.37,21194.825
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,1400,1450,1445,1725,1788,1878,2024,2100,2165,2225,2222,2166,2200,2020,1807,1869,1856,1760,1869,1856,1852,1882,1905.05,1871.5,1880.1,1907.8,1848.45,1851.81,1851.31,1872.7,1911.65,1906.25,1943.9,1983.45,1987.85,2017.35,2016.95,2041.2,1969.45,2029.45,2039.254,1902,1918.455
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,495,574,592,625,625,760,760,935,1384,1244,1394,1394,1470,1289,1269,1269,1269,1349,1354,1354,1514,1679,1574,1524,1524,1524,1520,1520,1520,1525,1525,1525,1525,1684,1684,1684,1684,1540,1540,1540,1540,1540,1540
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,12021.273,12860.228,13292.468,13642.446,14361.536,14960.71,15236.621,16398.372,17047.724,17440.885,17988.121,18620.52,17889.734,16859.337,16137.141,15658.769,15458.948,15565.513,15915.418,15654.874,15571.966,15675.627,15696.155,15120.63,15034.16,15434.28,15333.45,15451.785,15711,16261.29,16511.871,16595.371,16785.391,16757.37,16894.314,17124.87,17338.814,17443.492,17593.847,17671.55,17583.79,17736.37,17736.37
Central & South America,,4467.8,5008.8,5505.8,5794.8,6496.8,6778.8,6808.8,6859.8,7044.8,7044.4,6596.5,6702.5,6663.495,6183.495,6011,5846,5438,5518,5634,5591,5639,5829.8,6069.075,6059.075,5994.11,5794.909,5862.93,5832.718,6297.37,6205.216,6456.058,6684.555,6547.315,6633.864,6726.81,6608.859,6615.653,6607.603,6607.803,6607.803,6498.153,6582.482,6595.037
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,18,17,17,16,16,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,457,456,630,602,624,721,684,703,655,655,676,679,677,676,678,678,667,670,690,690,689,696,696.285,709.485,709.485,664.6,661.4,664.98,666.505,652.675,661.8,639.075,639.075,639.075,639.075,625.075,624.575,624.575,626.075,626.075,627.075,627.075,630.575
Aruba,,460,460,460,520,520,440,440,440,480,480,--,--,--,--,--,--,0,0,0,0,0,150,150,150,157,170,170,170,205,205,225,280,280,280,280,230,270.75,270.75,270.75,270.75,235,235,235
