date,Afghanistan,Armenia,Azerbaijan,Bangladesh,Belarus,Benin,Bhutan,Brazil,Burkina Faso,Burundi,Cameroon,Cape Verde,Chad,Chile,China,Colombia,Costa Rica,Democratic Republic of the Congo,Dominican Republic,Egypt,El Salvador,Eritrea,Ethiopia,Gabon,Georgia,Ghana,Guatemala,Guinea,Haiti,India,Indonesia,Kyrgyzstan,Lao People's Democratic Republic,Lesotho,Madagascar,Malawi,Mauritania,Mexico,Mongolia,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Occupied Palestinian Territory,Pakistan,Panama,Peru,Philippines,Republic of Moldova,Russian Federation,Samoa,Senegal,Somalia,Sri Lanka,Tajikistan,Timor-Leste,Togo,Tunisia,Uganda,Uruguay,Viet Nam,Zambia,Zimbabwe
19900101,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,,
19900201,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,3.99,,,,,,,,,,,,,,,,,,,,
19900301,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
19900401,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,4.15,,,,,,,,,,,,,,,,,,,,
19900501,,,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,
19900601,,,,,,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,
19900701,,,,,,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,4.57,,,,,,,,,,,,,,,,,,,,
19900801,,,,,,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,4.66,,,,,,,,,,,,,,,,,,,,
19900901,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,4.65,,,,,,,,,,,,,,,,,,,,
19901001,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,4.57,,,,,,,,,,,,,,,,,,,,
19901101,,,,,,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,4.59,,,,,,,,,,,,,,,,,,,,
19901201,,,,,,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,4.47,,,,,,,,,,,,,,,,,,,,
19910101,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,4.66,,,,,,,,,,,,,,,,,,,,
19910201,,,,,,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,4.97,,,,,,,,,,,,,,,,,,,,
19910301,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,
19910401,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,
19910501,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,
19910601,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,
19910701,,,,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,3.73,,,,,,,,,,,,,,,,,,,,
19910801,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,,,,,
19910901,,,,,,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,4.18,,,,,,,,,,,,,,,,,,,,
19911001,,,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,
19911101,,,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,,,
19911201,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,
19920101,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,
19920201,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,,,,,
19920301,,,,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,
19920401,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,3.97,,,,,,,,,,,,,,,,,,,,
19920501,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,
19920601,,,,,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,4.67,,,,,,,,,,,,,,,,,,,,
19920701,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,5.23,,,,,,,,,,,,,,,,,,,,
19920801,,,,,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,5.45,,,,,,,,,,,,,,,,,,,,
19920901,,,,,,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,4.88,,,,,,,,,,,,,,,,,,,,
